NOC,Sport,size,rank
TUR,Shooting,2,9.0
TUR,Artistic Gymnastics,1,10.0
UAE,Judo,1,1.0
UAE,Shooting,1,2.0
UAR,Boxing,1,1.0
UAR,Wrestling,1,2.0
UGA,Athletics,9,1.0
UGA,Boxing,4,2.0
UKR,Athletics,25,1.0
UKR,Gymnastics,23,2.0
UKR,Wrestling,22,3.0
UKR,Fencing,18,4.0
UKR,Boxing,16,5.0
UKR,Handball,15,6.0
UKR,Canoeing,12,7.0
UKR,Rowing,12,8.0
UKR,Sailing,11,9.0
UKR,Shooting,11,10.0
UKR,Artistic Swimming,10,11.0
UKR,Swimming,9,12.0
UKR,Archery,8,13.0
UKR,Weightlifting,8,14.0
UKR,Cycling,6,15.0
URS,Gymnastics,288,1.0
URS,Athletics,242,2.0
URS,Rowing,155,3.0
URS,Basketball,146,4.0
URS,Fencing,146,5.0
URS,Volleyball,141,6.0
URS,Swimming,124,7.0
URS,Wrestling,116,8.0
URS,Canoeing,87,9.0
URS,Football,87,10.0
URS,Handball,84,11.0
URS,Water Polo,78,12.0
URS,Weightlifting,62,13.0
URS,Cycling,53,14.0
URS,Boxing,51,15.0
URU,Football,31,1.0
URU,Basketball,24,2.0
URU,Rowing,6,3.0
URU,Boxing,1,4.0
URU,Cycling,1,5.0
USA,Swimming,1206,1.0
USA,Athletics,1190,2.0
USA,Basketball,389,3.0
USA,Rowing,388,4.0
USA,Shooting,207,5.0
USA,Gymnastics,194,6.0
USA,Water Polo,176,7.0
USA,Volleyball,158,8.0
USA,Diving,147,9.0
USA,Football,144,10.0
USA,Wrestling,144,11.0
USA,Sailing,142,12.0
USA,Equestrianism,132,13.0
USA,Boxing,118,14.0
USA,Fencing,81,15.0
UZB,Boxing,20,1.0
UZB,Wrestling,13,2.0
UZB,Judo,10,3.0
UZB,Taekwondo,3,4.0
UZB,Weightlifting,3,5.0
UZB,Gymnastics,1,6.0
UZB,Trampolining,1,7.0
VEN,Boxing,6,1.0
VEN,Athletics,3,2.0
VEN,Weightlifting,3,3.0
VEN,Taekwondo,2,4.0
VEN,Cycling,1,5.0
VEN,Cycling BMX Freestyle,1,6.0
VEN,Fencing,1,7.0
VEN,Shooting,1,8.0
VEN,Swimming,1,9.0
VIE,Shooting,2,1.0
VIE,Taekwondo,1,2.0
VIE,Weightlifting,1,3.0
WIF,Athletics,5,1.0
YUG,Basketball,84,1.0
YUG,Water Polo,76,2.0
YUG,Football,73,3.0
YUG,Handball,72,4.0
YUG,Gymnastics,18,5.0
YUG,Wrestling,16,6.0
YUG,Rowing,13,7.0
YUG,Boxing,11,8.0
YUG,Canoeing,7,9.0
YUG,Table Tennis,4,10.0
YUG,Shooting,3,11.0
YUG,Athletics,2,12.0
YUG,Judo,2,13.0
YUG,Swimming,2,14.0
ZAM,Athletics,2,1.0
ZAM,Boxing,1,2.0
ZIM,Hockey,15,1.0
ZIM,Swimming,7,2.0
